accepted_arrivals,arrival_attempts,completed_jobs,loss_probability,mean_num_jobs,mean_occupied_resource,observed_time,pi_hat_0,pi_hat_1,pi_hat_10,pi_hat_11,pi_hat_12,pi_hat_13,pi_hat_14,pi_hat_15,pi_hat_16,pi_hat_17,pi_hat_18,pi_hat_19,pi_hat_2,pi_hat_20,pi_hat_3,pi_hat_4,pi_hat_5,pi_hat_6,pi_hat_7,pi_hat_8,pi_hat_9,rejected_arrivals,rejected_capacity,rejected_resource,rejected_server,replication_index,scenario_name,seed,throughput,total_time,warmup_time
256257,256409,256255,0.0005928029047342332,2.8833953536969563,5.771977835339527,80000.0,0.07403706159086569,0.17658674093024887,0.0026327856384517874,0.0012676292100322372,0.0005688776650893487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2236533378615581,0.0,0.20088624286238566,0.14402175549367693,0.08727308738245379,0.04832824944877466,0.0240089802325037,0.011357183582293692,0.005378068101665531,152,0,0,152,19,erlang_2,19000099,3.2031875,100000.0,20000.0
256182,256291,256186,0.00042529780600957505,2.887088248473936,5.772748979612591,80000.0,0.07387857344572271,0.1756981183395295,0.0023410355476564293,0.00103074220414951,0.00048762694356196333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22423281287268423,0.0,0.20046593290608522,0.14319871026428668,0.08795922723663294,0.04910080697426729,0.024577957805501684,0.011570960237894268,0.005457495222027592,109,0,0,109,0,erlang_4,42,3.202325,100000.0,20000.0
255710,255841,255709,0.0005120367728393807,2.8743482951355253,5.752577497412564,80000.0,0.07317335848069224,0.17730602549589938,0.002394210542945666,0.00118757054020125,0.0005134283283179684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22564981326211428,0.0,0.2024916277314732,0.1420594076300958,0.08732139442064171,0.0471739932587087,0.023985612030207677,0.011378632286125413,0.005364925992576718,131,0,0,131,1,erlang_4,1000045,3.1963625,100000.0,20000.0
255833,255946,255833,0.0004414993787752104,2.8752150036948616,5.749594916261689,80000.0,0.07289373092783685,0.17682418533062214,0.0023940203652051423,0.0010507495869841478,0.0005006705256711029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2256126406300963,0.0,0.2019054749196584,0.1439323575957365,0.08729817537339005,0.04733077923056508,0.023573830134999935,0.01142964506325411,0.005253740315980258,113,0,0,113,2,erlang_4,2000048,3.1979125,100000.0,20000.0
256299,256401,256299,0.00039781436109843563,2.8846880643272477,5.771498426685019,80000.0,0.07304400703748147,0.17618695064287582,0.002394563615043671,0.0009935449413364494,0.000478749473411699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239062280459265,0.0,0.20176181969744345,0.14433746290564756,0.08775770940041135,0.047661023453595,0.024474164216577676,0.011674103680394773,0.005329672889854646,102,0,0,102,3,erlang_4,3000051,3.2037375,100000.0,20000.0
256553,256704,256548,0.0005882261281475942,2.886230002607916,5.777572870775313,80000.0,0.0728405205402149,0.1761122694295083,0.0024332060692140657,0.0011466696490624144,0.0005463114815886001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22476405152587808,0.0,0.20147900992443032,0.14331883032241394,0.0882489578866037,0.04794013982617607,0.024271064330073706,0.01149768538129938,0.005401283633536514,151,0,0,151,4,erlang_4,4000054,3.20685,100000.0,20000.0
256268,256391,256269,0.000479736028175716,2.8888175633305493,5.769897453705923,80000.0,0.07271680347268553,0.17719192831065944,0.0024627643939081735,0.001161141007019114,0.0005226086478422985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22363023603531357,0.0,0.20128072138433553,0.14347361659404342,0.08724010841109717,0.04825094868453261,0.024810367853670006,0.011750572352727294,0.005508182852165874,123,0,0,123,5,erlang_4,5000057,3.2033625,100000.0,20000.0
255832,255970,255832,0.0005391256787904832,2.8817179686932226,5.76249620200417,80000.0,0.0723366358497181,0.17544235342542092,0.0025081459802848713,0.0011453842219540094,0.0004582743247549388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22562224058217326,0.0,0.20296674856532887,0.14419455783297672,0.0878266668094595,0.047198904012950106,0.02381449934197444,0.011225876061698455,0.005259712991305832,138,0,0,138,6,erlang_4,6000060,3.1979,100000.0,20000.0
255600,255743,255604,0.0005591550892888563,2.87007199182493,5.738291132201157,80000.0,0.07322678420750289,0.17841491307750867,0.0025056711555757373,0.001259260480508783,0.000499826518401278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22546542820023915,0.0,0.2010701186770563,0.14369820033620562,0.08698373264847842,0.04697053905502507,0.02338207037006073,0.01131091771512124,0.005212537558316126,143,0,0,143,7,erlang_4,7000063,3.19505,100000.0,20000.0
256670,256793,256669,0.00047898501906204607,2.8858251470719525,5.773266456429865,80000.0,0.07287521639414876,0.1754998756704693,0.0023924912271291307,0.0011095725827604838,0.00046210247600492947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22407685207380573,0.0,0.20177698506254857,0.14419941972144526,0.08943361458489812,0.047722091188189236,0.023927727866472834,0.011343682701355783,0.005180368450771903,123,0,0,123,8,erlang_4,8000066,3.2083625,100000.0,20000.0
